**Fiscal Year** represents a Financial Year. All accounting entries and other major transactions are tracked against **Fiscal Year**.,** Бюджетний період ** являє собою бюджетний період. Всі бухгалтерські та інші основні операції відслідковуються у розрізі **Бюджетного періоду**.,
**Monthly Distribution** helps you distribute the Budget/Target across months if you have seasonality in your business.,"**Щомісячний розподіл** дозволяє розподілити Бюджет/Мету по місяцях, якщо у вашому бізнесі є сезонність.",
1 Loyalty Points = How much base currency?,1 балів лояльності = скільки базова валюта?,
1 hr,1 год,
2 Yearly,2 раз на рік,
30 mins,30 хв,
6 hrs,6 год,
<b>From Time</b> cannot be later than <b>To Time</b> for {0},<b>Час від часу</b> не може бути пізнішим за <b>час</b> до {0},
A BOM with name {0} already exists for item {1}.,Специфікація з назвою {0} вже існує для елемента {1}.,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,"Група клієнтів з таким ім'ям вже існує. Будь ласка, змініть Ім'я клієнта або перейменуйте Групу клієнтів",
A Lead requires either a person's name or an organization's name,"Керівник вимагає або імені людини, або імені організації",
"A Product or a Service that is bought, sold or kept in stock.","Продукт або послуга, що купується, продається, або зберігається на складі.",
A condition for a Shipping Rule,Умова для Правила доставки,
A customer with the same name already exists,Клієнт з тим самим ім&#39;ям вже існує,
A logical Warehouse against which stock entries are made.,"Уявний склад, на якому зроблено Рух ТМЦ.",
A new appointment has been created for you with {0},Для вас створено нову зустріч із {0},
A third party distributor / dealer / commission agent / affiliate / reseller who sells the companies products for a commission.,"Сторонній дистриб'ютор / дилер / комісіонер / Партнер / реселер, що продає продукти компанії за комісію.",
A+,A +,
A-,A-,
A4,A4,
AB+,AB +,
AB-,AB-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.РРРР.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.РРРР.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.РРРР.-,
AMC Expiry Date,Дата закінчення річного обслуговування,
API,API,
API Endpoint,Кінцева точка API,
API Key,ключ API,
API Secret Key,Секретний ключ API,
API Token,API Token,
API consumer key,Споживчий ключ API,
API consumer secret,API споживчої таємниці,
Abbr,Абревіатура,
Abbreviation,Скорочення,
Abbreviation already used for another company,Скорочення вже використовується для іншої компанії,
Abbreviation is mandatory,Скорочення є обов'язковим,
Above,Вище,
Academics User,академіки Користувач,
Accepted,Прийняті,
Accepted Qty,Прийнято Кількість,
Accepted Quantity,Прийнята кількість,
Accepted Warehouse,Прийнято на склад,
Access Token,Маркер доступу,
Access Token Secret,Доступ до секретного маркера,
Account,Рахунок,
Account Balance,Баланс,
Account Currency,Валюта рахунку,
Account Details,Деталі облікового запису,
Account Head,Рахунок,
Account Info,Інформація про акаунт,
Account Manager,Менеджер облікових записів,
Account Missing,Обліковий запис відсутній,
Account Name,Ім&#39;я рахунку,
Account Not Found,Обліковий запис не знайдено,
Account Number,Номер рахунку,
Account Number {0} already used in account {1},Номер рахунку {0} вже використовувався на рахунку {1},
Account Paid From,Рахунок Оплачено з,
Account Paid To,Рахунок оплати,
Account Pay Only,Рахунок Оплатити тільки,
Account SID,SID рахунку,
Account Subtype,Підтип облікового запису,
Account Type,Тип рахунку,
Account Value,Значення рахунку,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Баланс рахунку вже в кредит, ви не можете встановити &quot;баланс повинен бути&quot;, як &quot;дебет&quot;",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Баланс рахунку в дебет вже, ви не можете встановити &quot;баланс повинен бути&quot;, як &quot;Кредит»",
Account for Change Amount,Рахунок для суми змін,
Account is mandatory to get payment entries,Рахунок обов&#39;язковий для отримання платіжних записів,
Account is not set for the dashboard chart {0},Обліковий запис не встановлено для діаграми інформаційної панелі {0},
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,"Номер рахунку для облікового запису {0} недоступний. <br> Будь ласка, правильно налаштуйте свою схему рахунків.",
Account with child nodes cannot be converted to ledger,"Рахунок з дочірніх вузлів, не можуть бути перетворені в бухгалтерській книзі",
Account with child nodes cannot be set as ledger,"Рахунок з дочірніх вузлів, не може бути встановлений як книгу",
Account with existing transaction can not be converted to group.,Рахунок з існуючою транзакції не можуть бути перетворені в групі.,
Account with existing transaction can not be deleted,Рахунок з існуючою транзакції не можуть бути вилучені,
Account with existing transaction cannot be converted to ledger,Рахунок з існуючою транзакції не можуть бути перетворені в бухгалтерській книзі,
Account {0} does not belong to company {1},Рахунок {0} не належать компанії {1},
Account {0} does not belong to company: {1},Рахунок {0} не належить компанії: {1},
Account {0} does not belongs to company {1},Рахунок {0} не належить компанії {1},
Account {0} does not exist,Рахунок {0} не існує,
Account {0} does not exists,Рахунок {0} не існує робить,
Account {0} does not exists in the dashboard chart {1},Обліковий запис {0} не існує в діаграмі інформаційної панелі {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Рахунок {0} не збігається з Компанією {1} в режимі рахунку: {2},
Account {0} exists in parent company {1}.,Обліковий запис {0} існує в материнській компанії {1}.,
Account {0} has been entered multiple times,Рахунок {0} був введений кілька разів,
Account {0} is added in the child company {1},У дочірній компанії {1} додано рахунок {0},
Account {0} is frozen,Рахунок {0} заблоковано,
Account {0} is invalid. Account Currency must be {1},Рахунок {0} є неприпустимим. Валюта рахунку повинні бути {1},
Account {0}: Parent account {1} can not be a ledger,Рахунок {0}: Батьки рахунку {1} не може бути книга,
Account {0}: Parent account {1} does not belong to company: {2},Рахунок {0}: Батьківський рахунок {1} не належить компанії: {2},
Account {0}: Parent account {1} does not exist,Рахунок {0}: Батьківський рахунок не існує {1},
Account {0}: You can not assign itself as parent account,Рахунок {0}: Ви не можете призначити рахунок як батьківський до себе,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,"Рахунок: <b>{0}</b> - це капітал Незавершене виробництво, і його не можна оновлювати в журналі",
Account: {0} can only be updated via Stock Transactions,Рахунок: {0} може оновитися тільки операціями з інвентарем,
Account: {0} is not permitted under Payment Entry,Рахунок: {0} заборонено вводити платіж,
Account: {0} with currency: {1} can not be selected,Рахунок: {0} з валютою: {1} не може бути обраний,
Accountant,Бухгалтер,
Accounting,Бухгалтерський облік,
Accounting Details,Бухгалтеський облік. Детальніше,
Accounting Dimension,Вимір обліку,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Параметр обліку <b>{0}</b> необхідний для рахунку &quot;Баланс&quot; {1}.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,Параметр обліку <b>{0}</b> необхідний для рахунку &quot;Прибуток і збиток&quot; {1}.,
Accounting Dimension Detail,Детальніше про розмір обліку,
Accounting Dimensions,Бухгалтерські виміри,
Accounting Dimensions ,Розмір обліку,
Accounting Entries,Бухгалтерські проводки,
Accounting Entry for Asset,Облік входження до активів,
Accounting Entry for Service,Бухгалтерський запис про послугу,
Accounting Entry for Stock,Проводки по запасах,
Accounting Entry for {0}: {1} can only be made in currency: {2},Облік Вхід для {0}: {1} можуть бути зроблені тільки у валюті: {2},
Accounting Ledger,Бухгалтерська книга,
Accounting Period,Період обліку,
Accounting Period overlaps with {0},Період обліку перекривається на {0},
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,"До цієї дати бухгалтерські записи заморожені. Ніхто не може створювати або змінювати записи, крім користувачів із зазначеною нижче роллю",
Accounts,Бухгалтерські рахунки,
Accounts Frozen Till Date,Рахунки заморожені до дати,
Accounts Manager,Диспетчер облікових записів,
Accounts Payable,Кредиторська заборгованість,
Accounts Payable Summary,Зведена кредиторська заборгованість,
Accounts Receivable,Дебіторська заборгованість,
Accounts Receivable Credit Account,Кредитний рахунок дебіторської заборгованості,
Accounts Receivable Discounted Account,Дисконтований рахунок дебіторської заборгованості,
Accounts Receivable Summary,Зведена дебіторська заборгованість,
Accounts Receivable Unpaid Account,Неоплачений рахунок дебіторської заборгованості,
Accounts Settings,Налаштування рахунків,
Accounts User,Облікові записи користувачів,
Accounts table cannot be blank.,Облікові записи таблиці не може бути порожнім.,
Accumulated Depreciation,Накопичений знос,
Accumulated Depreciation Account,Рахунок накопиченого зносу,
Accumulated Depreciation Amount,Сума накопиченого зносу,
Accumulated Depreciation as on,Накопичений знос на,
Accumulated Monthly,Накопичений в місяць,
Accumulated Values,Накопичені значення,
Accumulated Values in Group Company,Накопичені цінності в групі компаній,
Achieved ({}),Досягнуто ({}),
Acquisition Date,придбання Дата,
Action,Дія,
Action If Quality Inspection Is Not Submitted,"Дія, якщо перевірка якості не подається",
Action Initialised,Дія ініціалізована,
Action if Accumulated Monthly Budget Exceeded on Actual,"Дія, якщо накопичений місячний бюджет перевищено на фактичному",
Action if Accumulated Monthly Budget Exceeded on MR,"Дія, якщо накопичений місячний бюджет перевищено на ЗМ",
Action if Accumulated Monthly Budget Exceeded on PO,"Дія, якщо накопичений місячний бюджет перевищено на ОЗ",
Action if Annual Budget Exceeded on Actual,"Дія, якщо річний бюджет перевищено на фактичному",
Action if Annual Budget Exceeded on MR,"Дія, якщо річний бюджет перевищено на ЗМ",
Action if Annual Budget Exceeded on PO,"Дія, якщо річний бюджет перевищено на ПО",
Actions,Заходи,
Actions performed,Виконані дії,
Active,Активний,
Active Leads,Активні потенційні клієнти,
Activities,Діяльності,
Activity,Діяльність,
Activity Cost,Вартість активність,
Activity Cost exists for Employee {0} against Activity Type - {1},Діяльність Вартість існує для працівника {0} проти типу активність - {1},
Activity Cost per Employee,Діяльність Вартість одного працівника,
Activity Type,Тип діяльності,
Actual,Фактичні,
Actual Batch Quantity,Фактична кількість партії,
Actual Cost,Фактична вартість,
Actual Date,Фактична дата,
Actual Delivery Date,Фактична дата доставки,
Actual End Date,Фактична Дата закінчення,
Actual End Date (via Time Sheet),Фактична дата закінчення (за допомогою табеля робочого часу),
Actual End Time,Фактична Час закінчення,
Actual Operating Cost,Фактична Операційна Вартість,
Actual Operation Time,Фактична Час роботи,
Actual Qty,Фактична к-сть,
Actual Qty (at source/target),Фактична к-сть (в джерелі / цілі),
Actual Qty is mandatory,Фактична к-сть обов'язкова,
Actual Qty {0} / Waiting Qty {1},Фактична Кількість {0} / Очікування Кількість {1},
Actual Qty: Quantity available in the warehouse.,"Фактична кількість: кількість, наявна на складі.",
Actual Quantity,Фактична кількість,
Actual Start Date,Фактична дата початку,
Actual Start Date (via Time Sheet),Фактична дата початку (за допомогою Time Sheet),
Actual Start Time,Фактичний початок Час,
Actual Time and Cost,Фактичний час і вартість,
Actual qty in stock,Фактичне кількість на складі,
Actual type tax cannot be included in Item rate in row {0},Фактичний тип податку не може бути включений у вартість товару в рядку {0},
Add,Додавати,
Add / Edit Prices,Додати / Редагувати Ціни,
Add Child,Додати підлеглий елемент,
Add Comment,Додати коментар,
Add Customers,Додати Клієнти,
Add Employees,Додати співробітників,
Add Item,Додати елемент,
Add Items,Додати товари,
Add Leads,Додати підписки,
Add Loan Security,Додати гарантію позики,
Add Multiple,Додати кілька,
Add Multiple Tasks,Додати кілька завдань,
Add Order Discount,Додати знижку на замовлення,
Add Participants,Додати учасників,
Add Quote,Додати Цитата,
Add Sales Partners,Додайте Партнерів продажу,
Add Serial No,Додати серійний номер,
Add Suppliers,Додати постачальників,
Add Timesheets,Додати розкладу,
Add Weekly Holidays,Додати щотижневі свята,
Add a new address,Додати нову адресу,
Add items in the Item Locations table,Додайте елементи в таблицю Розташування елементів,
Add notes,Додайте примітки,
Add or Deduct,Додати або відняти,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,"Додайте решту вашої організації в якості користувачів. Ви можете також додати запрошувати клієнтів на ваш портал, додавши їх зі списку контактів",
Add to Cart,Додати в кошик,
Add to Holidays,Додати до свят,
Add to Transit,Додати до Транзиту,
Add/Edit Coupon Conditions,Додати / змінити умови купона,
Added,Доданої,
Added {0} ({1}),Додано {0} ({1}),
Additional Cost,Додаткова вартість,
Additional Costs,Додаткові витрати,
Additional DIscount Amount,Додаткова знижка Сума,
Additional DIscount Percentage,Додаткова знижка у відсотках,
Additional Details,додаткові подробиці,
Additional Discount,Додаткова знижка,
Additional Discount Amount,Додаткова сума знижки,
Additional Discount Amount (Company Currency),Додаткова знижка Сума (валюта компанії),
Additional Discount Percentage,Додатковий відсоток знижки,
Additional Information,Додаткова інформація,
Additional Notes,додаткові нотатки,
Additional Operating Cost,Додаткова Експлуатаційні витрати,
Additional information regarding the customer.,Додаткова інформація щодо клієнта.,
Address,Очистити все,
Address & Contact,Адреса та контакти,
Address & Contacts,Адреса та контакти,
Address Desc,Опис адреси,
Address HTML,Адреса HTML,
Address Line 1,Адресний рядок 1,
Address Line 2,Адресний рядок 2,
Address Name,Адреса Ім&#39;я,
Address Title,Назва адреси,
Address Type,Тип адреси,
Address and Contact,Адреса та контакти,
Address and Contacts,Адреса та контакти,
Address needs to be linked to a Company. Please add a row for Company in the Links table.,"Адреса повинна бути пов’язана з компанією. Будь ласка, додайте рядок для компанії в таблиці посилань.",
Address used to determine Tax Category in transactions,"Адреса, що використовується для визначення податкової категорії в операціях",
Addresses,Адреси,
Administrative Expenses,Адміністративні витрати,
Administrative Officer,Адміністративний співробітник,
Administrator,Адміністратор,
Advance Amount,Сума авансу,
Advance Paid,Попередньо оплачено,
Advance Payments,Авансові платежі,
Advance amount,Сума авансу,
Advance amount cannot be greater than {0} {1},"Сума авансу не може бути більше, ніж {0} {1}",
Advanced Settings,Розширені налаштування,
Advances,Аванси,
Advertising,Реклама,
Aerospace,Авіаційно-космічний,
Against,Проти,
Against Account,Кор.рахунок,
Against Blanket Order,Проти ковдрового ордену,
Against Default Supplier,Проти постачальника за замовчуванням,
Against Delivery Note Item,Проти товарної накладної,
Against Docname,На DOCNAME,
Against Doctype,На DOCTYPE,
Against Document Detail No,На деталях документа немає,
Against Document No,Проти Документ №,
Against Expense Account,На рахунки витрат,
Against Income Account,На рахунок доходів,
Against Journal Entry {0} does not have any unmatched {1} entry,"За проводкою {0} не має ніякого невідповідного {1}, запису",
Against Journal Entry {0} is already adjusted against some other voucher,За проводкою {0} вже є прив'язані інші документи,
Against Loan,Проти позики,
Against Loan ,Проти Позики,
Against Loan:,Проти позики:,
Against Sales Invoice,На рахунок продажу,
Against Sales Invoice Item,По позиціях вхідного рахунку-фактури,
Against Sales Order,На замовлення клієнта,
Against Sales Order Item,На Sales Order Пункт,
Against Stock Entry,Проти введення акцій,
Against Supplier Invoice {0} dated {1},Згідно вхідного рахунку-фактури {0} від {1},
Against Voucher,Згідно документу,
Against Voucher Type,Згідно док-ту типу,
Age,Вік,
Age (Days),Вік (днів),
Ageing Based On,На підставі проблем старіння,
Ageing Range 1,Старіння Діапазон 1,
Ageing Range 2,Старіння Діапазон 2,
Ageing Range 3,Старіння Діапазон 3,
Ageing Range 4,Діапазон старіння 4,
Agenda,Порядок денний,
Agent Details,Інформація про агента,
Agents,Агенти,
Agriculture,Сільське господарство,
Agriculture Manager,Менеджер з сільського господарства,
Agriculture User,Сільськогосподарський користувач,
Airline,Авіакомпанія,
All,ВСІ,
All Accounts,Усі рахунки,
All BOMs,все ВВП,
All Contact,Всі контактні,
All Customer Contact,Всі Контакти клієнта,
All Customer Groups,Всі групи покупців,
All Day,Весь день,
All Departments,Всі кафедри,
All Employee (Active),Всі Співробітник (Активний),
All Item Groups,Всі Групи товарів,
All Lead (Open),Всі Lead (відкрито),
All Products,Всі товари,
All Sales Partner Contact,Усі контакти торгового партнеру,
All Sales Person,Всі Відповідальні з продажу,
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"Для всіх операцій продажу можна вказувати декількох ""Відповідальних з продажу"", так що ви можете встановлювати та контролювати цілі.",
All Supplier Contact,Всі постачальником Зв&#39;язатися,
All Supplier Groups,Усі групи постачальників,
All Territories,Всі території,
All Warehouses,Всі склади,
All communications including and above this shall be moved into the new Issue,"Всі повідомлення, включаючи та вище, повинні бути перенесені в новий випуск",
All items have already been Invoiced/Returned,Усі товари вже виставлені рахунки / повернені,
All items have already been transferred for this Work Order.,Всі предмети вже були передані для цього робочого замовлення.,
All these items have already been Invoiced/Returned,Всі ці товари вже виставлені рахунки / повернені,
Allocate,Виділяти,
Allocate Advances Automatically (FIFO),Автоматично розподіляти аванси (FIFO),
Allocate Payment Amount,Розподілити суму платежу,
Allocate Payment Based On Payment Terms,Розподіліть платіж на основі умов оплати,
Allocated,Розподілено,
Allocated Amount,Розподілена сума,
Allocated amount,Розподілена сума,
Allocated amount cannot be greater than unadjusted amount,Виділена сума не може бути більшою за невідрегульовану суму,
Allocated amount cannot be negative,Виділена сума не може бути від’ємною,
Allocation,Розподіл,
Allotted Qty,Виділена кількість,
Allow Account Creation Against Child Company,Дозволити створення облікових записів стосовно дочірньої компанії,
Allow Alternative Item,Дозволити альтернативний елемент,
Allow In Returns,Дозволити повернення,
Allow Item To Be Added Multiple Times in a Transaction,Дозволити додавати елемент у транзакції кілька разів,
Allow Material Transfer from Delivery Note to Sales Invoice,Дозволити передачу матеріалу з накладного на поставку на рахунок-фактуру,
Allow Material Transfer from Purchase Receipt to Purchase Invoice,Дозволити передачу матеріалу з квитанції про придбання на рахунок-фактуру,
Allow Multiple Material Consumption,Дозволити багато матеріалу споживання,
Allow Multiple Sales Orders Against a Customer's Purchase Order,Дозволити кілька замовлень на продаж проти замовлення клієнта,
Allow Negative Stock,Дозволити від'ємні залишки,
Allow Overtime,Дозволити Овертайм,
Allow Production on Holidays,Дозволити виробництво на вихідних,
Allow Purchase Invoice Creation Without Purchase Order,Дозволити створення рахунків-фактур на придбання без замовлення на придбання,
Allow Purchase Invoice Creation Without Purchase Receipt,Дозволити створення рахунків-фактур на придбання без квитанції про придбання,
Allow Rename Attribute Value,Дозволити значення атрибуту &quot;Перейменувати&quot;,
Allow Resetting Service Level Agreement,Дозволити скидання угоди про рівень обслуговування,
Allow Resetting Service Level Agreement from Support Settings.,Дозволити скидання Угоди про рівень обслуговування з налаштувань підтримки.,
Allow Sales Invoice Creation Without Delivery Note,Дозволити створення рахунків-фактур без продажу накладного,
Allow Sales Invoice Creation Without Sales Order,Дозволити створення рахунків-фактур на продаж без замовлення на продаж,
Allow Stale Exchange Rates,Дозволити стабільний курс обміну,
Allow User to Edit Price List Rate in Transactions,Дозволити користувачеві редагувати ціну прейскуранта в транзакціях,
Allow Zero Valuation Rate,Дозволити нульову Незалежну оцінку Оцінити,
Allowed To Transact With,Дозволено вести транзакцію з,
Already record exists for the item {0},Уже існує запис для елемента {0},
"Already set default in pos profile {0} for user {1}, kindly disabled default","Вже встановлено стандарт в профілі {0} для користувача {1}, люб&#39;язно відключений за замовчуванням",
Alternate Item,Альтернативний елемент,
Alternative Item Code,Код альтернативного елемента,
Alternative Item Name,Альтернативний Назва Назва,
Alternative item must not be same as item code,"Альтернативний елемент не повинен бути таким самим, як код елемента",
Amended From,Відновлено з,
America/New_York,Америка / Нью-Йорк,
Amount,Сума,
Amount (Company Currency),Сума (Компанія валют),
Amount After Depreciation,Залишкова вартість,
Amount Delivered,Доставлена сума,
Amount Difference,сума різниця,
Amount In Figure,Сума цифрами,
Amount Paid,Виплачувана сума,
Amount in customer's currency,Сума в валюті клієнта,
Amount of TDS Deducted,Сума TDS відрахована,
Amount paid cannot be zero,Сума сплаченої суми не може дорівнювати нулю,
Amount {0} {1} against {2} {3},Сума {0} {1} проти {2} {3},
Amount {0} {1} deducted against {2},Сума {0} {1} відняті {2},
Amount {0} {1} transferred from {2} to {3},Сума {0} {1} переведений з {2} кілька разів {3},
Amount {0} {1} {2} {3},Сума {0} {1} {2} {3},
Amounts,Суми,
Amt,Сум,
An error occurred during the update process,Під час процесу оновлення сталася помилка,
Analyst,Аналітик,
Annual,Річний,
Annual Billing: {0},Річні оплати: {0},
Annual Expenses,річні витрати,
Annual Income,Річний дохід,
Another Budget record '{0}' already exists against {1} '{2}' and account '{3}' for fiscal year {4},Ще один запис бюджету &quot;{0}&quot; вже існує для {1} &quot;{2}&quot; та рахунку &quot;{3}&quot; за фінансовий рік {4},
Another Period Closing Entry {0} has been made after {1},Ще одна операція закриття періоду {0} була зроблена після {1},
Another Sales Person {0} exists with the same Employee id,Інший Відповідальний з продажу {0} існує з тим же ідентифікатором працівника,
Apparel & Accessories,Одяг та аксесуари,
Applicable Charges,Застосовувані Збори,
Applicable For,Стосується для,
Applicable Holiday List,"Список вихідних, який використовується",
Applicable Modules,Застосовувані модулі,
Applicable To (Designation),Застосовується до (Посада),
Applicable To (Employee),Застосовується до (Співробітник),
Applicable To (Role),Застосовується до (Роль),
Applicable To (User),Застосовується до (Користувач),
Applicable for Countries,Стосується для країн,
Applicable for Users,Застосовується для користувачів,
Applicable for external driver,Застосовується для зовнішнього драйвера,
"Applicable if the company is SpA, SApA or SRL","Застосовується, якщо компанія є SpA, SApA або SRL",
Applicable if the company is a limited liability company,"Застосовується, якщо компанія є товариством з обмеженою відповідальністю",
Applicable if the company is an Individual or a Proprietorship,"Застосовується, якщо компанія є фізичною особою або власником",
Applicable on Material Request,Застосовується за запитом про матеріал,
Applicable on Purchase Order,Застосовується на замовлення на купівлю,
Applicable on booking actual expenses,Застосовується при бронюванні фактичних витрат,
Applicant,Заявник,
Applicant Name,Заявник Ім&#39;я,
Applicant Type,Тип заявника,
Application Settings,Налаштування програми,
Application of Funds (Assets),Застосування засобів (активів),
Applied Coupon Code,Прикладний купонний код,
Apply Additional Discount On,Надати додаткову знижку на,
Apply Coupon Code,Застосовуйте купонний код,
Apply Discount On,Застосувати знижки на,
Apply Discount on Discounted Rate,Застосувати знижку на знижку,
Apply Discount on Rate,Застосовуйте знижку на ставку,
Apply Multiple Pricing Rules,Застосовуйте кілька правил ціноутворення,
Apply On,Віднести до,
Apply Rule On Brand,Застосувати правило щодо торгової марки,
Apply Rule On Item Code,Застосувати правило щодо коду предмета,
Apply Rule On Item Group,Застосувати правило щодо групи предметів,
Apply Rule On Other,Застосувати правило щодо інших,
Apply Tax Withholding Amount,Застосувати податкову суму втримання,
Appointment,Призначення,
Appointment Booking,Призначення бронювання,
Appointment Booking Settings,Налаштування бронювання зустрічей,
Appointment Booking Slots,Призначення Бронювання Слотів,
Appointment Confirmation,Підтвердження призначення,
Appointment Details,Деталі про зустріч,
Appointment Duration (In Minutes),Тривалість зустрічі (у хвилинах),
Appointment With,Зустріч з,
Approved,Затверджений,
Approving Role (above authorized value),Затвердження роль (вище статутного вартості),
Approving Role cannot be same as role the rule is Applicable To,"Затвердження роль не може бути такою ж, як роль правило застосовно до",
Approving User  (above authorized value),Затвердження користувач (вище статутного вартості),
Approving User cannot be same as user the rule is Applicable To,"Затвердження користувач не може бути таким же, як користувач правило застосовно до",
"Apps using current key won't be able to access, are you sure?","Програми, які використовують поточний ключ, не зможуть отримати доступ, чи впевнені ви?",
Area,Площа,
Area UOM,Площа УОМ,
Arrival Quantity,Кількість прибуття,
As On Date,Станом на Дата,
As per Stock UOM,як од.вим.,
"As the field {0} is enabled, the field {1} is mandatory.","Оскільки поле {0} ввімкнено, поле {1} є обов’язковим.",
"As the field {0} is enabled, the value of the field {1} should be more than 1.","Оскільки поле {0} ввімкнено, значення поля {1} має бути більше 1.",
"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.","Оскільки сировини достатньо, запит на матеріали не потрібен для складу {0}.",
Asset,Актив,
Asset Account,Рахунок активів,
Asset Category,Категорія активів,
Asset Category Account,Категорія активів Рахунок,
Asset Category Name,Назва категорії активів,
Asset Category is mandatory for Fixed Asset item,Категорія активів є обов&#39;язковим для фіксованого елемента активів,
Asset Depreciation Cost Center,Центр витрат амортизації,
Asset Depreciation Ledger,Книга амортизації,
Asset Depreciations and Balances,Амортизація та баланси,
Asset Details,Інформація про активи,
Asset Finance Book,Кредит на активи,
Asset Id,Ідентифікатор активів,
Asset Location,Розташування майна,
Asset Maintenance,Обслуговування активів,
Asset Maintenance Log,Журнал обслуговування активів,
Asset Maintenance Task,Завдання з обслуговування майна,
Asset Maintenance Team,Команда з обслуговування майна,
Asset Movement,Рух активів,
Asset Movement Item,Елемент руху активів,
Asset Movement record {0} created,Рух активів {0} створено,
Asset Name,Найменування активів,
Asset Naming Series,Asset Naming Series,
Asset Owner,Власник майна,
Asset Owner Company,Компанія-власник активів,
Asset Received But Not Billed,"Активи отримані, але не виставлені",
Asset Repair,Ремонт майна,
Asset Status,Статус активів,
Asset Value,Значення активів,
Asset Value Adjustment,Коригування вартості активів,
Asset Value Adjustment cannot be posted before Asset's purchase date <b>{0}</b>.,Коригування вартості активів не може бути розміщено до дати придбання активу <b>{0}</b> .,
Asset Value Analytics,Аналіз вартості активів,
"Asset cannot be cancelled, as it is already {0}","Asset не може бути скасована, так як вона вже {0}",
Asset scrapped via Journal Entry {0},Зіпсовані активи згідно проводки{0},
"Asset {0} cannot be scrapped, as it is already {1}","Asset {0} не може бути утилізовані, як це вже {1}",
Asset {0} does not belong to company {1},Asset {0} не належить компанії {1},
